onbook_date,price,cont_vol_ask,cont_vol_bid,close_vol_ask,close_vol_bid,cum_ask,cum_bid,total,,difference,
03/01/2019,0,109654,128971,924846,696258,,,,,,
03/01/2019,8.33,,60,,60,4570705, 696'318.00 , 5'267'023.00 , -1'504'542.00 , 3'874'387.00 , 3'865'373.00 
03/01/2019,10,,150,,150,4570705, 696'468.00 , 5'267'173.00 , -1'504'392.00 , 3'874'237.00 , 3'865'223.00 
03/01/2019,12,,1700,,1700,4570705, 698'168.00 , 5'268'873.00 , -1'502'692.00 , 3'872'537.00 , 3'863'523.00 
03/01/2019,12.2,,500,,500,4570705, 698'668.00 , 5'269'373.00 , -1'502'192.00 , 3'872'037.00 , 3'863'023.00 
03/01/2019,12.25,,220,,220,4570705, 698'888.00 , 5'269'593.00 , -1'501'972.00 , 3'871'817.00 , 3'862'803.00 
03/01/2019,12.5,,40,,40,4570705, 698'928.00 , 5'269'633.00 , -1'501'932.00 , 3'871'777.00 , 3'862'763.00 
03/01/2019,12.55,,3000,,3000,4570705, 701'928.00 , 5'272'633.00 , -1'498'932.00 , 3'868'777.00 , 3'859'763.00 
03/01/2019,13,,4000,,4000,4570705, 705'928.00 , 5'276'633.00 , -1'494'932.00 , 3'864'777.00 , 3'855'763.00 
03/01/2019,13.4,,650,,650,4570705, 706'578.00 , 5'277'283.00 , -1'494'282.00 , 3'864'127.00 , 3'855'113.00 
03/01/2019,14,,2000,,2000,4570705, 708'578.00 , 5'279'283.00 , -1'492'282.00 , 3'862'127.00 , 3'853'113.00 
03/01/2019,14.5,,4200,,4200,4570705, 712'778.00 , 5'283'483.00 , -1'488'082.00 , 3'857'927.00 , 3'848'913.00 
03/01/2019,14.55,,3000,,3000,4570705, 715'778.00 , 5'286'483.00 , -1'485'082.00 , 3'854'927.00 , 3'845'913.00 
03/01/2019,14.8,,150,,150,4570705, 715'928.00 , 5'286'633.00 , -1'484'932.00 , 3'854'777.00 , 3'845'763.00 
